,Interface,Access_VLAN,Active,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
10,lab-nxos-01[Ethernet1/43],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/43'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
11,lab-nxos-01[Ethernet1/54],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/54'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
12,lab-nxos-01[Ethernet1/13],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/13'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
13,lab-nxos-01[Ethernet1/24],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/24'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
14,lab-nxos-01[Ethernet1/35],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/35'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
15,lab-nxos-01[Ethernet1/46],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/46'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
16,lab-nxos-01[Ethernet1/57],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/57'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
17,lab-nxos-01[Ethernet1/12],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/12'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
18,lab-nxos-01[Ethernet1/23],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/23'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
19,lab-nxos-01[Ethernet1/34],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/34'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
20,lab-nxos-01[Ethernet1/45],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/45'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
21,lab-nxos-01[Ethernet1/56],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/56'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
22,lab-nxos-01[Ethernet1/5],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/5'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
23,lab-nxos-01[Ethernet1/6],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/6'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
24,lab-nxos-01[Ethernet1/8],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/8'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
25,lab-nxos-01[Ethernet1/7],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/7'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
26,lab-arista-01[Management1],,False,['10.0.0.11/24'],,True,1000000000000.0,True,,[],[],['Management1'],OOB Management,,[],,,,1500,,,,10.0.0.11/24,10.0.0.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
